candidate_id,candidate_name,model,task_name,data,num_batches,status,error,params,l2_norm,flops,grad_norm,zico,fisher,grasp,jacob_cov,jacob_fro,plain,snip,synflow,,mse
Autoformer_031,Autoformer_031,Autoformer,long_term_forecast,custom,5,success,,2131976,64.57919312,10565865477,3.07484684,0.391071039,0.062564611,-27.84738312,-699.4394728,49.50293045,1.156563973,55.13918686,28364702925,,0.163364753
Autoformer_032,Autoformer_032,Autoformer,long_term_forecast,custom,5,success,,220168,35.8992691,645548037,3.724328184,0.379291576,0.222741657,-73.2256897,-227.060967,36.09654922,2.016121483,37.8961853,11799744.8,,0.16108641
Autoformer_033,Autoformer_033,Autoformer,long_term_forecast,custom,5,success,,604168,47.20355988,2448650245,3.045846128,0.311592507,0.117559583,-29.91819687,-874.8094848,60.26691132,1.280439925,33.59982758,271404713.6,,0.145762146
Autoformer_034,Autoformer_034,Autoformer,long_term_forecast,custom,5,success,,88584,28.64935875,410597379,3.585932398,0.332885605,0.415252984,-45.01954346,-128.5889818,40.81137009,2.504857111,24.19847755,11500660.6,,0.154606432
Autoformer_035,Autoformer_035,Autoformer,long_term_forecast,custom,5,success,,669192,46.82504272,1989959684,2.909335041,0.344995183,0.073115574,-25.91642532,-177.6489451,45.87653122,0.915828395,33.24695473,33521222.4,,0.153123736
Autoformer_036,Autoformer_036,Autoformer,long_term_forecast,custom,5,success,,935432,52.44859695,3133870086,3.06653657,0.405026114,0.117718849,-33.88572121,-295.4208832,42.7988472,1.650272942,47.47322617,28733149184,,0.19554545
Autoformer_037,Autoformer_037,Autoformer,long_term_forecast,custom,5,success,,935432,52.44859695,3072528390,3.847131205,0.39065966,0.186995202,-50.47177124,-436.406936,51.78374557,1.930794311,57.29592819,5.83519E+11,,0.147607014
Autoformer_038,Autoformer_038,Autoformer,long_term_forecast,custom,5,success,,1337352,56.8314209,6110674947,6.232155514,0.322326183,0.202779785,-149.6665253,-136.7497928,49.12257843,1.792492318,74.19894409,84981684.8,,0.17163226
Autoformer_039,Autoformer_039,Autoformer,long_term_forecast,custom,5,success,,673288,48.83770752,3072528390,3.184353209,0.382521647,0.116193345,-35.25219574,-157.435999,40.39254303,1.608384514,44.03669434,3.00734E+11,,0.158957556
Autoformer_040,Autoformer_040,Autoformer,long_term_forecast,custom,5,success,,866312,50.61694717,2448650245,2.570632076,0.27484712,0.085651949,-17.45622406,-385.5322456,42.7427269,1.140279007,26.41864624,169732454.4,,0.161027133
Autoformer_041,Autoformer_041,Autoformer,long_term_forecast,custom,5,success,,1861640,59.8455162,6110674947,3.094928789,0.332250971,0.057768344,-32.29812393,-272.2434988,42.74094238,1.137637329,40.71547775,92421302.4,,0.153395936
Autoformer_042,Autoformer_042,Autoformer,long_term_forecast,custom,5,success,,2918408,68.51544189,10782920709,5.729777431,0.360211945,0.145682029,-105.0367912,-246.5751639,40.08799362,1.563228297,98.08001556,3282148096,,0.203686029
